description,url,title
<p>In Alexander McQueen</p>,http://akns-images.eonline.com/eol_images/Entire_Site/2017029/rs_634x1024-170129165845-634-emma-stone-sag-awards-2017.jpg,Emma Stone
<p>In Dior</p>,http://akns-images.eonline.com/eol_images/Entire_Site/2017029/rs_634x1024-170129165832-634-2017-screen-actors-guild-natalie-portman.jpg,Natalie Portman
<p>&nbsp; &nbsp;</p>,http://akns-images.eonline.com/eol_images/Entire_Site/2017029/rs_634x1024-170129165752-634-Mahershala-Ali.cm.12917.jpg,Mahershala Ali
<p>In Gucci</p>,http://akns-images.eonline.com/eol_images/Entire_Site/2017029/rs_634x1024-170129165629-634-salma-hayek-sag-awards-2017.jpg,Salma Hayek
<p>In Louis Vuitton</p>,http://akns-images.eonline.com/eol_images/Entire_Site/2017029/rs_634x1024-170129165010-634-2017-screen-actors-guild-michelle-williams.jpg,Michelle Williams
<p>&nbsp; &nbsp;</p>,http://akns-images.eonline.com/eol_images/Entire_Site/2017029/rs_634x1024-170129165101-634.kerry-washington.cm.12917.jpg,Kerry Washington
<p>In Valentino</p>,http://akns-images.eonline.com/eol_images/Entire_Site/2017029/rs_634x1024-170129165315-634-meryl-streep-sag-awards-2017.jpg,Meryl Streep
<p>&nbsp; &nbsp;</p>,http://akns-images.eonline.com/eol_images/Entire_Site/2017029/rs_634x1024-170129165509-634-2017-screen-actors-guild-janelle-monae.jpg,Janelle Monae
<p>In Lela Rose</p>,http://akns-images.eonline.com/eol_images/Entire_Site/2017029/rs_634x1024-170129165028-634-julia-louis-dreyfus-sag-awards-2017.jpg,Julia Louis-Dreyfus
<p>&nbsp; &nbsp;</p>,http://akns-images.eonline.com/eol_images/Entire_Site/2017029/rs_634x1024-170129165532-634.naomie-harris.cm.12917.jpg,Naomie Harris
<p>In Miri Couture</p>,http://akns-images.eonline.com/eol_images/Entire_Site/2017029/rs_634x1024-170129165247-634.mayim-balik.cm.12917.jpg,Mayim Bialik
<p>In Jason Wu</p>,http://akns-images.eonline.com/eol_images/Entire_Site/2017029/rs_634x1024-170129164813-634-2017-screen-actors-guild-brie-larson.jpg,Brie Larson
<p>&nbsp; &nbsp;</p>,http://akns-images.eonline.com/eol_images/Entire_Site/2017029/rs_634x1024-170129164623-634-2017-screen-actors-guild-gina-rodriguez.jpg,Gina Rodriguez
<p>&nbsp; &nbsp;</p>,http://akns-images.eonline.com/eol_images/Entire_Site/2017029/rs_634x1024-170129164824-634.steven-yeun.cm.12917.jpg,Steve Yeun
